index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test
0,0.6278,1.4812,0.0109,25,99.6,98.4,81.8,10,34,99,98,47,0.4345
1,0.508,1.496,0.179,43,97.2,75.8,70,10,43,98,83,40,0.4212
2,0.829,1.4907,0.2589,15.6,98.2,76.2,70.2,10,18,95,91,44,0.4189
3,0.837,1.4951,0.1729,14,99.4,79.4,74.4,10,13,100,57,25,0.4131
4,0.8651,1.4936,0.4786,14,96,74.4,69.4,10,17,99,78,39,0.419
5,0.7808,1.4971,0.0868,19.4,99.6,81.8,74.6,10,14,100,76,39,0.407
6,0.8445,1.4971,0.5022,14.8,99,85,71.2,10,15,98,88,24,0.4231
7,0.8133,1.5101,0.0918,18.4,98.8,84.2,72.6,10,20,98,93,4,0.428
8,0.8837,1.464,0.148,10.2,98.2,86.8,72,10,10,100,98,3,0.4362
9,0.6002,1.5282,0.1864,30.2,99.4,90.8,76.4,10,32,100,98,27,0.412
10,0.9206,1.4991,0.2231,9,95,92.4,70.8,10,8,98,73,4,0.4422
11,0.8818,1.4875,0.266,13,96.2,77.2,64.6,10,17,92,83,34,0.428
12,0.8182,1.493,0.0204,17.4,98.8,81.2,66.8,10,19,100,96,9,0.424
13,0.387,1.4732,0.2461,50.4,98,84.2,73,10,51,98,100,8,0.4401
14,0.7604,1.5072,0.2637,20.2,98,86.4,77.4,10,13,99,83,52,0.4251
15,0.8584,1.498,0.0134,14.4,99.8,75,66.8,10,8,100,81,14,0.4236
16,0.764,1.4979,0.0808,22.4,99.6,84.4,74.6,10,16,100,62,6,0.4382
17,0.8463,1.515,0.0657,12.8,99.2,84.2,70.2,10,14,99,87,21,0.451
18,0.9386,1.5056,0.0242,7.8,98.8,79,65.4,10,11,99,76,27,0.423
19,0.9092,1.496,0.0363,7,100,74.2,68.4,10,8,99,61,20,0.42
20,0.6734,1.482,0.1366,31.4,100,96.2,83.8,10,31,100,98,28,0.4175
21,0.8087,1.4827,0.0802,17.2,99.6,82.2,71.2,10,13,100,80,0,0.4201
22,0.5288,1.489,0.0256,39.8,99.6,93.4,75.8,10,34,99,96,43,0.44
23,0.9405,1.4741,0.5146,5.4,96.8,89.6,74.4,10,8,100,97,37,0.422
24,0.7504,1.501,0.1376,24.6,98.8,86.6,73.2,10,18,100,77,34,0.4307
25,0.765,1.498,0.0259,23.8,100,70.4,63,10,23,100,74,2,0.424
26,0.9326,1.477,0.3099,6.6,97.6,77,69,10,9,99,99,3,0.4195
27,0.7717,1.519,0.3209,20,98.2,67.8,59.2,10,20,98,62,40,0.439
28,0.8597,1.5139,0.0053,15,98.8,96.8,74.6,10,12,99,40,7,0.4377
29,0.5596,1.4866,0.0461,37.2,99.4,83,71,10,31,100,94,17,0.4236
30,0.7892,1.5181,0.0138,19.2,98.6,90.2,73.2,10,16,97,100,0,0.4352
31,0.5411,1.5391,0.2164,40.4,100,77,73.6,10,32,100,78,42,0.443
32,0.9092,1.4781,0.1485,7.6,98.4,66.4,59.8,10,6,99,86,19,0.419
33,0.8908,1.4815,0.1013,7.8,98,87.6,77.4,10,13,100,92,65,0.433
34,0.8602,1.479,0.3477,14.4,99.8,76.4,69.8,10,19,100,87,2,0.4221
35,0.91,1.4936,0.5235,7.4,97.8,72,61.8,10,11,98,77,14,0.4266
36,0.821,1.4829,0.1368,15,97,82.6,66,10,20,97,80,24,0.431
37,0.7163,1.5002,0.1553,23.2,97.8,73.6,63.2,10,16,97,95,14,0.42
38,0.8554,1.4913,0.0302,11.4,97,76.4,68.4,10,12,98,97,15,0.4206
39,0.6557,1.4955,0.0375,39.6,99.8,90.2,86.4,10,51,100,97,52,0.4316
40,0.7356,1.5017,0.1596,26.6,100,77.2,75.6,10,30,100,95,34,0.429
41,0.9023,1.4978,0.1172,13.4,97.6,87.6,73.8,10,17,92,92,32,0.4323
42,0.7623,1.5001,0.3437,19.4,97.8,78.2,71.8,10,29,98,88,3,0.4201
43,0.8864,1.5061,0.1068,9.6,99.2,74.2,65.4,10,9,99,89,12,0.4221
44,0.9492,1.4981,0.2463,6.6,100,72.8,68.4,10,9,100,86,10,0.4231
