, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.8228,1.4751,0.2349,15.4,99.4,98.4,90.4,16,20,100,99,38,0.885
1,0.7375,1.481,0.2127,23.4,98.4,88.8,68.6,16,25,99,73,2,0.881
2,0.5134,1.4721,0.0136,43.2,94,83,74.2,16,47,94,98,3,0.8654
3,0.8391,1.4651,0.1593,14,92.4,90.4,67.6,16,16,92,98,18,0.8621
4,0.6914,1.449,0.2096,24.4,92.2,88,63.6,16,31,94,97,13,0.862
5,0.6568,1.443,0.1243,27.4,99.6,92.8,81.4,16,21,100,60,0,0.9135
6,0.8847,1.488,0.1467,12.4,98.6,85.2,73.2,16,10,100,84,23,0.8773
7,0.8639,1.4388,0.0447,11.8,99.2,88,75.6,16,14,99,99,10,0.8615
8,0.8736,1.4151,0.1181,11.4,93.2,85.4,80.4,16,11,94,98,18,0.8606
9,0.4875,1.4422,0.1577,36.4,98.8,93,78.6,16,32,100,60,1,0.8605
10,0.8842,1.4161,0.2613,11.6,93.4,95,78,16,13,98,98,27,0.8954
11,0.7969,1.4154,0.0372,19.6,91.2,81.4,72.6,16,23,99,98,10,0.8693
12,0.7996,1.4543,0.3401,16.4,97.6,83,70.6,16,23,99,95,16,0.869
13,0.458,1.4092,0.0377,43.4,98.8,94.2,77.2,16,46,100,98,37,0.8604
14,0.8945,1.4125,0.054,9.6,99,87.8,72.6,16,10,100,91,2,0.8629
15,0.6085,1.4578,0.1196,29.8,100,86.4,70.2,16,15,100,95,10,0.8912
16,0.7287,1.3992,0.3057,21.8,99.6,94.8,79.2,16,20,100,69,1,0.8634
17,0.7185,1.4242,0.2843,23.6,99,90.2,79.2,16,20,100,92,16,0.8604
18,0.825,1.4074,0.0735,15.4,98.2,88.4,78.2,16,19,100,97,24,0.8628
19,0.9101,1.407,0.3393,9.4,99.8,89.2,76.8,15,9,100,93,14,0.8788
20,0.4653,1.442,0.064,43.2,100,99,89.8,16,44,100,100,28,0.8605
21,0.5666,1.4484,0.0173,28.4,99.8,89,73.4,16,33,100,94,32,0.9006
22,0.4857,1.4596,0.0386,36.2,99.6,95.6,83.4,16,34,100,100,21,0.876
23,0.8642,1.4086,0.1257,14.2,99.6,92.6,78.8,15,15,94,65,6,0.8761
24,0.6589,1.4456,0.1137,24.4,98.8,86.8,82.2,16,27,96,93,22,0.8537
25,0.5323,1.4112,0.2061,39.8,99.6,79.6,69.6,15,36,99,89,17,0.8594
26,0.8662,1.395,0.123,13.8,94.6,81.4,72.6,16,13,97,75,31,0.8761
27,0.7029,1.4074,0.1631,25.4,95,88.6,67.8,16,22,95,92,10,0.8701
28,0.8503,1.4412,0.2024,15,98.2,96.6,89.8,15,15,100,94,63,0.8761
29,0.6388,1.4637,0.2589,31.6,100,87.6,75.4,16,30,100,99,14,0.8605
30,0.7333,1.4493,0.0308,23.8,94.8,88.2,69.8,16,24,95,91,30,0.8527
31,0.682,1.4108,0.017,27.4,99.8,95.8,75.8,16,30,99,96,15,0.8767
32,0.8901,1.4255,0.3669,10.6,95.2,74.8,78.2,16,12,96,80,19,0.8584
33,0.8538,1.4626,0.291,10.8,93,90.8,71.6,16,13,93,94,42,0.8761
34,0.8146,1.4077,0.0247,16.2,100,92,75.4,16,20,95,97,25,0.8604
35,0.7377,1.4389,0.0765,24.4,93,84,76.6,16,29,96,99,18,0.8835
36,0.7747,1.4527,0.1517,20.6,94.2,90.2,75.8,16,24,92,91,32,0.8618
37,0.8528,1.44,0.0969,10.2,97.4,86.2,68.8,16,12,95,96,17,0.8572
38,0.8431,1.4088,0.3307,14.8,92,95.4,67,16,14,91,96,18,0.9111
39,0.6344,1.3943,0.0499,29,100,97.4,90.8,16,36,100,94,49,0.8594
