index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test
0,0.6479,1.448,0.1537,32.6,99.6,94.4,86,12,39,99,97,36,0.4901
1,0.4601,1.464,0.0252,47.6,96.2,81.2,75,12,47,97,88,51,0.4842
2,0.8501,1.479,0.1926,14.6,97.2,78.2,67,12,15,93,83,22,0.4827
3,0.8489,1.444,0.0156,11.2,100,67.2,67,12,12,99,100,2,0.474
4,0.8726,1.4442,0.0633,13.2,97.6,78.8,67.6,12,12,95,96,21,0.483
5,0.7263,1.495,0.1002,22.8,99.6,89,78.6,12,19,95,95,2,0.506
6,0.8695,1.449,0.179,12,99,74.8,67.8,12,17,98,96,22,0.4926
7,0.8297,1.4801,0.1254,14.2,99.6,80,70.8,12,11,100,89,7,0.489
8,0.8387,1.453,0.1565,14.8,98.4,85,82,12,15,97,92,20,0.487
9,0.5245,1.489,0.1939,34.8,98.4,82.6,77.8,12,37,100,99,23,0.487
10,0.9275,1.464,0.3285,7.6,96.2,83,72.6,12,9,100,93,43,0.485
11,0.9196,1.477,0.231,6.4,98.8,78,67.4,12,8,99,87,4,0.4961
12,0.8191,1.479,0.0908,16,98.8,82.4,70.4,12,15,99,85,6,0.498
13,0.2658,1.561,0.0277,60.6,98.6,91.6,76,12,60,97,80,14,0.4937
14,0.8365,1.448,0.2994,16.4,97.8,81,70.8,12,12,99,99,1,0.4856
15,0.8139,1.4361,0.0023,17.4,100,81.6,73.8,12,11,100,98,3,0.482
16,0.699,1.423,0.042,24.6,100,86.4,78.2,12,21,100,51,4,0.4851
17,0.6171,1.456,0.0123,35.4,98.6,91.6,76.6,12,35,99,94,55,0.4835
18,0.9248,1.454,0.1165,7.6,99.8,72.4,69.6,12,10,100,95,0,0.4873
19,0.8348,1.4601,0.0302,12,100,86.6,72,12,15,100,90,0,0.4823
20,0.6068,1.47,0.0984,36.6,100,90.8,74.8,12,35,100,69,9,0.4892
21,0.7129,1.498,0.1053,23.2,99.2,85.6,73.4,12,22,100,98,17,0.479
22,0.6133,1.449,0.0994,31.6,99,85.4,72.8,12,30,100,95,35,0.4794
23,0.87,1.46,0.0799,11,99.2,91.6,76.6,12,15,100,95,6,0.4796
24,0.7565,1.465,0.083,19.4,99.6,89.4,74.6,12,23,100,84,41,0.4804
25,0.7065,1.464,0.0299,26,99.6,77.2,66.6,12,25,99,100,20,0.479
26,0.879,1.456,0.3635,9.6,99.2,75.2,70.6,12,11,99,98,1,0.482
27,0.7192,1.463,0.1287,23.2,98.2,83.4,69.8,12,26,96,92,7,0.4866
28,0.8352,1.451,0.2285,17.2,98.6,83.8,74.6,12,15,99,98,2,0.4933
29,0.7197,1.468,0.216,29.2,99.4,75.2,81.8,12,26,100,100,4,0.4924
30,0.8345,1.4581,0.1247,16.6,98,85.2,74,12,16,99,98,11,0.4822
31,0.5945,1.446,0.1576,31.2,99.6,90.2,76.6,12,26,100,94,15,0.482
32,0.9275,1.424,0.3229,7,99.8,70.4,66,12,10,100,93,10,0.48
33,0.9006,1.4651,0.2737,9,100,90,76.4,12,14,100,73,5,0.489
34,0.865,1.465,0.0421,10.6,100,81.8,69.2,12,10,100,96,18,0.477
35,0.9479,1.449,0.1989,6,96.6,73.6,59.2,12,7,97,75,27,0.4854
36,0.8842,1.462,0.2211,9.6,97.8,84.4,68.4,12,8,99,87,37,0.4771
37,0.7888,1.466,0.0206,18,96.6,84.2,71.6,12,23,97,91,21,0.4939
