index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.6969,18.1327,0.005,27.68,99.7,72.48,76.98,68.0,25.6,99.8,96.5,37.5,4.8734
1,0.6181,18.6306,0.0018,34.72,91.82000000000001,77.34,72.3,69.0,35.6,92.30000000000001,91.5,50.1,4.8937
2,0.912,17.9696,0.3494,7.26,99.64,68.47999999999999,65.74,65.0,7.9,99.6,69.19999999999999,49.7,4.7078
3,0.9481,17.824,0.1055,5.04,97.1,68.8,60.68,64.0,6.6000000000000005,96.7,84.1,32.6,4.678
4,0.8676,17.6914,0.0865,11.08,99.7,80.22,68.54,64.0,9.9,99.7,84.6,47.099999999999994,4.6891
5,0.7812,17.9611,0.2568,19.54,98.96000000000001,77.12,66.25999999999999,66.0,20.599999999999998,98.4,86.5,25.2,4.7806
6,0.891,17.5906,0.1821,9.86,99.0,77.72,76.6,64.0,9.1,98.6,89.9,48.6,4.6984
7,0.6322,18.4298,0.0045,29.439999999999998,99.64,79.4,75.92,68.0,29.299999999999997,99.5,96.8,22.6,4.906
8,0.7858,18.1333,0.2543,21.84,97.92,78.36,78.72,66.0,22.900000000000002,98.2,86.2,52.300000000000004,4.7629
9,0.2647,20.2877,0.0618,64.0,95.39999999999999,85.1,75.53999999999999,74.0,64.1,95.0,94.8,44.4,5.1172
