index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.822,18.9198,0.2087,16.400000000000002,99.86,81.44,72.1,64.0,13.700000000000001,99.9,78.60000000000001,62.1,4.1089
1,0.6345,19.2793,0.3409,30.18,92.75999999999999,79.32000000000001,67.78,62.0,31.5,93.7,86.1,26.200000000000003,4.1714
2,0.9233,18.0798,0.4623,7.22,99.38,78.18,61.68,58.0,7.7,98.9,85.2,35.0,4.0111
3,0.9447,17.6071,0.0366,5.6000000000000005,99.96000000000001,66.88,58.120000000000005,57.0,5.4,100.0,61.7,15.9,4.0503
4,0.9451,17.7362,0.3121,5.38,99.92,78.08,68.8,58.0,6.3,97.3,85.39999999999999,41.5,4.0387
5,0.8486,18.1932,0.1167,14.979999999999999,99.28,80.86,69.67999999999999,59.0,15.2,98.6,83.2,49.8,4.1051
6,0.879,17.9277,0.0285,10.54,98.76,81.67999999999999,67.9,58.0,9.700000000000001,98.9,90.10000000000001,20.4,4.0473
7,0.8826,17.8361,0.1495,9.86,99.53999999999999,78.56,72.06,58.0,7.7,99.7,94.5,34.300000000000004,4.0311
8,0.8948,17.8786,0.5275,9.08,99.64,80.46,69.08,58.0,10.8,99.6,93.10000000000001,47.8,4.0824
9,0.4196,19.0569,0.0763,50.32,95.6,86.38,71.96000000000001,63.0,47.9,95.39999999999999,92.30000000000001,38.3,4.2775
