index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.6863,0.1262,0.0599,32.35,58.81999999999999,85.28999999999999,58.81999999999999,9.0,36.36,51.519999999999996,100.0,0.0,0.6875
1,0.5192,0.125,0.0622,36.36,63.63999999999999,81.82000000000001,63.63999999999999,9.0,63.63999999999999,66.67,93.94,30.3,0.3475
2,0.5565,0.1307,0.1551,39.39,66.67,87.88,66.67,9.0,50.0,73.53,100.0,0.0,0.7423
3,0.4431,0.125,0.236,52.94,58.81999999999999,91.18,58.81999999999999,9.0,45.45,63.63999999999999,96.97,3.0300000000000002,0.6875
4,0.5546,0.125,0.0266,48.480000000000004,60.61,75.76,54.55,9.0,48.480000000000004,60.61,96.97,0.0,0.3636
5,0.5257,0.1107,0.2845,48.480000000000004,66.67,87.88,66.67,9.0,47.06,58.81999999999999,100.0,5.88,0.7403
6,0.3084,0.125,0.1483,64.71000000000001,55.879999999999995,91.18,55.879999999999995,9.0,60.61,54.55,100.0,0.0,0.7173
7,0.6198,0.125,0.1979,42.42,69.69999999999999,75.76,69.69999999999999,9.0,51.519999999999996,60.61,100.0,0.0,0.3628
8,0.44,0.1276,0.0354,48.480000000000004,57.58,81.82000000000001,57.58,9.0,52.94,58.81999999999999,97.06,0.0,0.7043
9,0.4984,0.1262,0.0637,50.0,82.35,82.35,79.41,9.0,60.61,54.55,100.0,0.0,0.6887
10,0.4975,0.1094,0.0999,42.42,60.61,96.97,60.61,9.0,39.39,48.480000000000004,100.0,0.0,0.3584
11,0.505,0.125,0.076,42.42,66.67,96.97,66.67,9.0,44.12,73.53,97.06,8.82,0.7055
12,0.5665,0.125,0.1486,44.12,67.65,73.53,67.65,9.0,57.58,75.76,93.94,0.0,0.7042
13,0.3712,0.1286,0.0028,54.55,63.63999999999999,84.85000000000001,63.63999999999999,9.0,48.480000000000004,69.69999999999999,75.76,15.15,0.3462
14,0.4802,0.125,0.1687,45.45,63.63999999999999,87.88,63.63999999999999,9.0,41.18,55.879999999999995,91.18,20.59,0.7043
15,0.3634,0.125,0.0421,58.81999999999999,52.94,97.06,52.94,9.0,63.63999999999999,51.519999999999996,96.97,3.0300000000000002,0.7199
16,0.4236,0.1265,0.0486,48.480000000000004,66.67,84.85000000000001,66.67,9.0,60.61,75.76,90.91,15.15,0.3605
17,0.5509,0.125,0.2033,45.45,66.67,84.85000000000001,66.67,9.0,50.0,64.71000000000001,100.0,0.0,0.7063
18,0.4261,0.125,0.0782,58.81999999999999,61.760000000000005,73.53,61.760000000000005,9.0,63.63999999999999,60.61,100.0,0.0,0.6908
19,0.1752,0.125,0.0059,66.67,66.67,81.82000000000001,63.63999999999999,9.0,60.61,69.69999999999999,90.91,6.0600000000000005,0.3282
20,0.3653,0.125,0.0037,51.519999999999996,54.55,87.88,54.55,9.0,73.53,58.81999999999999,100.0,0.0,0.7232
21,0.3653,0.125,0.0911,58.81999999999999,55.879999999999995,91.18,55.879999999999995,9.0,63.63999999999999,60.61,100.0,6.0600000000000005,0.7068
22,0.3717,0.125,0.0382,57.58,54.55,96.97,54.55,9.0,57.58,60.61,93.94,3.0300000000000002,0.345
23,0.3937,0.118,0.1893,57.58,66.67,87.88,66.67,9.0,47.06,61.760000000000005,100.0,2.94,0.7211
24,0.265,0.1419,0.1036,61.760000000000005,58.81999999999999,85.28999999999999,58.81999999999999,9.0,51.519999999999996,66.67,100.0,0.0,0.7344
25,0.5719,0.1108,0.1284,48.480000000000004,54.55,81.82000000000001,54.55,9.0,48.480000000000004,60.61,93.94,0.0,0.3312
26,0.5747,0.125,0.0732,51.519999999999996,72.72999999999999,75.76,63.63999999999999,9.0,41.18,70.59,97.06,0.0,0.7255
27,0.2546,0.1262,0.0516,64.71000000000001,55.879999999999995,82.35,55.879999999999995,9.0,48.480000000000004,54.55,100.0,0.0,0.7104
28,0.2548,0.125,0.035,63.63999999999999,51.519999999999996,93.94,51.519999999999996,9.0,63.63999999999999,57.58,100.0,0.0,0.3449
29,0.6352,0.1356,0.1771,39.39,54.55,90.91,54.55,9.0,50.0,55.879999999999995,100.0,0.0,0.7079
30,0.6513,0.1262,0.2076,47.06,58.81999999999999,85.28999999999999,58.81999999999999,9.0,48.480000000000004,66.67,100.0,0.0,0.7006
31,0.194,0.125,0.0096,69.69999999999999,60.61,84.85000000000001,57.58,9.0,51.519999999999996,60.61,96.97,21.21,0.375
32,0.2864,0.1094,0.0811,54.55,75.76,90.91,75.76,9.0,50.0,61.760000000000005,100.0,0.0,0.7369
33,0.5154,0.125,0.1718,44.12,70.59,85.28999999999999,67.65,9.0,48.480000000000004,57.58,100.0,6.0600000000000005,0.7511
