index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.7083,0.1261,0.0131,29.41,79.41,88.24,73.53,8,36.36,54.55,100,0,0.683
1,0.6081,0.125,0.0256,36.36,78.79,81.82,75.76,7,36.36,48.48,93.94,0,0.2188
2,0.3653,0.1117,0.0098,54.55,63.64,87.88,63.64,7,58.82,55.88,94.12,11.76,0.7059
3,0.3433,0.125,0.0629,58.82,44.12,94.12,44.12,8,66.67,33.33,96.97,0,0.6899
4,0.3382,0.1325,0.0214,63.64,48.48,87.88,48.48,8,75.76,48.48,100,0,0.2199
5,0.2679,0.125,0.0372,66.67,48.48,90.91,48.48,7,67.65,55.88,100,0,0.7067
6,0.1664,0.1261,0.0399,76.47,55.88,91.18,55.88,7,78.79,42.42,100,0,0.6898
7,0.3355,0.125,0.0844,51.52,39.39,90.91,39.39,8,69.7,54.55,100,0,0.2356
8,0.2289,0.125,0.0228,69.7,48.48,81.82,48.48,7,67.65,55.88,97.06,2.94,0.6899
9,0.4055,0.125,0.0411,55.88,55.88,79.41,55.88,7,66.67,45.45,93.94,12.12,0.6817
10,0.5122,0.1262,0.0562,39.39,48.48,87.88,48.48,8,48.48,63.64,93.94,9.09,0.2043
11,0.3212,0.125,0.0535,66.67,60.61,87.88,57.58,7,58.82,52.94,88.24,2.94,0.6886
12,0.3178,0.125,0.0261,58.82,50,73.53,50,7,54.55,63.64,100,0,0.6887
13,0.5113,0.1251,0.0391,48.48,57.58,87.88,57.58,8,66.67,36.36,100,0,0.2032
14,0.3684,0.125,0.0468,63.64,51.52,78.79,51.52,8,47.06,38.24,100,0,0.7031
15,0.5719,0.1263,0.2918,44.12,44.12,73.53,44.12,8,42.42,60.61,100,3.03,0.6719
16,0.2829,0.125,0.0007,60.61,57.58,78.79,57.58,8,57.58,57.58,100,0,0.2188
17,0.4164,0.125,0.0383,54.55,18.18,93.94,18.18,8,58.82,47.06,100,0,0.7199
18,0.2416,0.125,0.0311,67.65,52.94,91.18,52.94,8,69.7,51.52,100,0,0.6729
19,0.1814,0.1263,0.0109,84.85,60.61,93.94,60.61,8,69.7,57.58,84.85,33.33,0.2203
20,0.285,0.125,0.0165,72.73,48.48,87.88,48.48,8,76.47,47.06,100,0,0.7211
21,0.336,0.1262,0.127,61.76,52.94,91.18,52.94,8,63.64,48.48,84.85,9.09,0.684
22,0.3807,0.125,0.0066,66.67,51.52,78.79,51.52,8,78.79,39.39,100,3.03,0.2031
23,0.2455,0.125,0.0726,72.73,48.48,84.85,48.48,8,64.71,52.94,76.47,26.47,0.7043
24,0.3258,0.1266,0.0817,70.59,44.12,88.24,44.12,8,72.73,51.52,90.91,21.21,0.6795
25,0.4007,0.1261,0.1138,54.55,45.45,93.94,45.45,8,72.73,39.39,100,3.03,0.2031
26,0.4071,0.125,0.0187,60.61,51.52,84.85,51.52,8,61.76,52.94,94.12,2.94,0.7299
27,0.2741,0.125,0.0743,67.65,44.12,85.29,44.12,8,66.67,39.39,100,3.03,0.6764
28,0.2574,0.1261,0.0942,78.79,36.36,90.91,36.36,8,72.73,42.42,100,0,0.2065
29,0.4161,0.125,0.0152,51.52,48.48,90.91,48.48,8,67.65,47.06,100,0,0.7055
30,0.317,0.1291,0.0212,55.88,70.59,82.35,67.65,8,57.58,54.55,100,0,0.6923
31,0.1701,0.1261,0.0323,75.76,60.61,93.94,60.61,8,75.76,39.39,100,0,0.2188
32,0.2888,0.125,0.0013,66.67,36.36,93.94,36.36,8,58.82,52.94,100,0,0.7069
33,0.2422,0.125,0.0557,70.59,52.94,94.12,52.94,8,72.73,45.45,100,0,0.7344
34,0.3514,0.1264,0.0819,55.88,61.76,79.41,61.76,8,48.48,39.39,100,0,0.6886
35,0.3107,0.1208,0.047,63.64,42.42,93.94,42.42,8,42.42,57.58,66.67,30.3,0.2056
36,0.2218,0.1262,0.0486,63.64,48.48,87.88,48.48,8,44.12,29.41,82.35,2.94,0.6955
37,0.2354,0.125,0.0032,66.67,39.39,84.85,39.39,8,51.52,42.42,96.97,3.03,0.2042
38,0.2752,0.125,0.1205,66.67,51.52,81.82,51.52,8,61.76,52.94,91.18,5.88,0.697
39,0.2501,0.125,0.0398,67.65,47.06,88.24,47.06,8,75.76,45.45,100,6.06,0.673
40,0.6007,0.125,0.0752,45.45,81.82,69.7,72.73,8,42.42,45.45,100,0,0.2042
41,0.4388,0.125,0.0152,48.48,45.45,90.91,45.45,8,44.12,47.06,70.59,17.65,0.6887
42,0.5756,0.125,0.1749,38.24,70.59,85.29,67.65,8,42.42,54.55,93.94,0,0.6742
43,0.6648,0.125,0.2238,27.27,69.7,100,69.7,8,30.3,42.42,100,0,0.2043
44,0.5599,0.125,0.0631,39.39,81.82,84.85,81.82,8,50,79.41,88.24,32.35,0.7129
45,0.5498,0.125,0.0521,35.29,76.47,88.24,61.76,8,51.52,63.64,93.94,0,0.6719
46,0.341,0.1262,0.0841,57.58,48.48,72.73,48.48,7,51.52,72.73,96.97,3.03,0.2265
47,0.4174,0.1261,0.0625,51.52,36.36,81.82,36.36,8,52.94,52.94,94.12,8.82,0.7042
48,0.4121,0.1419,0.1231,47.06,47.06,79.41,47.06,8,45.45,48.48,81.82,12.12,0.6719
49,0.5396,0.125,0.0899,45.45,45.45,78.79,45.45,8,61.76,55.88,94.12,11.76,0.7223
50,0.5147,0.125,0.0182,47.06,52.94,79.41,52.94,7,48.48,54.55,100,0,0.6719
51,0.4249,0.125,0.023,48.48,36.36,90.91,36.36,8,42.42,42.42,93.94,12.12,0.2198
52,0.3692,0.1265,0.0639,54.55,45.45,93.94,45.45,7,42.42,33.33,100,0,0.2209
53,0.6745,0.125,0.1918,30.3,66.67,90.91,66.67,8,20.59,55.88,100,2.94,0.7162
54,0.6435,0.1271,0.0356,32.35,44.12,85.29,44.12,8,30.3,42.42,90.91,0,0.674
55,0.7447,0.1105,0.1721,24.24,48.48,87.88,48.48,7,39.39,45.45,96.97,9.09,0.2188
56,0.6017,0.1263,0.0431,36.36,57.58,84.85,57.58,7,38.24,35.29,91.18,5.88,0.7075
57,0.7622,0.125,0.0546,20.59,73.53,97.06,70.59,7,24.24,66.67,100,3.03,0.673
58,0.6373,0.125,0.1375,30.3,48.48,84.85,48.48,8,45.45,45.45,78.79,15.15,0.2377
59,0.4727,0.125,0.031,48.48,60.61,84.85,57.58,7,35.29,55.88,100,0,0.7077
60,0.5472,0.125,0.0852,35.29,44.12,88.24,44.12,8,36.36,39.39,84.85,27.27,0.6601
61,0.5344,0.125,0.0747,42.42,66.67,93.94,66.67,8,39.39,66.67,87.88,27.27,0.2188
62,0.4245,0.125,0.0935,47.06,55.88,79.41,55.88,8,60.61,33.33,100,0,0.6876
63,0.6199,0.1094,0.2198,36.36,66.67,96.97,63.64,8,23.53,58.82,97.06,5.88,0.7054
64,0.2941,0.125,0.0997,63.64,51.52,93.94,51.52,7,60.61,63.64,100,0,0.2057
65,0.2487,0.125,0.0023,81.82,63.64,84.85,63.64,8,70.59,52.94,100,0,0.7198
66,0.3182,0.125,0.1529,58.82,47.06,79.41,47.06,8,48.48,51.52,84.85,21.21,0.6714
67,0.6454,0.125,0.1647,42.42,78.79,78.79,72.73,8,48.48,45.45,93.94,3.03,0.2031
68,0.3637,0.1262,0.0467,54.55,51.52,72.73,51.52,8,57.58,39.39,100,0,0.2031
69,0.3796,0.125,0.1473,51.52,54.55,72.73,54.55,7,67.65,58.82,94.12,2.94,0.6875
70,0.5279,0.125,0.1026,47.06,50,76.47,50,8,36.36,51.52,100,18.18,0.6887
71,0.4803,0.125,0.0171,45.45,54.55,72.73,54.55,7,79.41,32.35,100,0,0.7031
72,0.4445,0.1094,0.0803,54.55,45.45,78.79,45.45,7,57.58,54.55,93.94,21.21,0.2199
73,0.584,0.125,0.0382,38.24,64.71,97.06,64.71,8,36.36,72.73,96.97,0,0.6573
74,0.3439,0.1407,0.0625,60.61,39.39,78.79,39.39,7,73.53,50,100,0,0.7067
75,0.4249,0.125,0.0503,52.94,47.06,73.53,47.06,8,66.67,57.58,100,3.03,0.6896
76,0.4465,0.125,0.0734,48.48,36.36,84.85,36.36,7,48.48,39.39,100,0,0.2188
77,0.4125,0.125,0.0459,48.48,78.79,87.88,78.79,7,55.88,70.59,94.12,20.59,0.721
78,0.3538,0.1275,0.0432,61.76,52.94,85.29,52.94,8,57.58,36.36,100,0,0.7031
79,0.2606,0.1283,0.0097,63.64,42.42,87.88,42.42,7,57.58,36.36,93.94,9.09,0.2344
80,0.2913,0.125,0.0008,57.58,51.52,90.91,51.52,8,52.94,47.06,100,0,0.7042
81,0.502,0.125,0.2298,50,44.12,76.47,44.12,8,42.42,39.39,100,0,0.6753
82,0.4485,0.125,0.1016,42.42,39.39,96.97,39.39,8,45.45,51.52,96.97,6.06,0.2032
83,0.438,0.125,0.0278,60.61,63.64,78.79,63.64,7,52.94,73.53,100,5.88,0.6958
84,0.5482,0.125,0.0668,41.18,41.18,82.35,41.18,8,45.45,63.64,87.88,24.24,0.7355
85,0.2987,0.1094,0.0247,63.64,45.45,78.79,45.45,7,63.64,45.45,100,0,0.2031
86,0.3123,0.1261,0.0055,57.58,51.52,81.82,51.52,7,38.24,50,100,0,0.7199
87,0.1738,0.126,0.0244,70.59,55.88,97.06,55.88,7,60.61,48.48,100,0,0.6611
88,0.6422,0.125,0.1719,33.33,60.61,93.94,60.61,7,51.52,57.58,96.97,15.15,0.2031
89,0.5757,0.1094,0.0067,39.39,51.52,78.79,51.52,7,47.06,67.65,94.12,2.94,0.7011
90,0.5298,0.125,0.0905,41.18,35.29,79.41,35.29,8,39.39,57.58,84.85,3.03,0.7382
91,0.7081,0.125,0.3383,30.3,51.52,93.94,51.52,7,36.36,78.79,81.82,30.3,0.201
92,0.4335,0.125,0.1465,50,41.18,79.41,41.18,7,36.36,39.39,96.97,0,0.673
93,0.3122,0.1407,0.1478,60.61,39.39,96.97,39.39,7,45.45,51.52,96.97,0,0.2109
94,0.7519,0.125,0.2579,21.21,42.42,100,42.42,7,32.35,47.06,91.18,0,0.7224
95,0.6564,0.125,0.149,33.33,75.76,100,75.76,7,32.35,79.41,94.12,35.29,0.7042
96,0.6711,0.125,0.2869,32.35,41.18,70.59,41.18,8,51.52,51.52,96.97,12.12,0.7059
97,0.4971,0.125,0.0216,45.45,45.45,75.76,45.45,7,39.39,69.7,96.97,9.09,0.2042
98,0.6525,0.1105,0.1931,33.33,57.58,87.88,57.58,8,47.06,29.41,91.18,2.94,0.6875
99,0.3163,0.1247,0.039,61.76,52.94,94.12,52.94,8,63.64,39.39,96.97,0,0.7371
