index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.6272,0.125,0.1509,38.24,50.0,79.41,50.0,9.0,39.39,69.69999999999999,90.91,6.0600000000000005,0.3979
1,0.5546,0.125,0.0596,42.42,57.58,96.97,57.58,6.0,45.45,57.58,100.0,6.0600000000000005,0.1985
2,0.51,0.125,0.1074,45.45,63.63999999999999,96.97,63.63999999999999,6.0,47.06,38.24,97.06,0.0,0.3762
3,0.4604,0.125,0.2071,47.06,58.81999999999999,97.06,58.81999999999999,6.0,60.61,60.61,90.91,6.0600000000000005,0.3783
4,0.4333,0.1178,0.0968,54.55,60.61,93.94,60.61,6.0,66.67,60.61,96.97,6.0600000000000005,0.1875
5,0.53,0.1094,0.0379,51.519999999999996,57.58,75.76,57.58,6.0,50.0,67.65,91.18,8.82,0.3897
6,0.2744,0.1216,0.127,70.59,73.53,100.0,73.53,6.0,75.76,51.519999999999996,93.94,9.09,0.3505
7,0.3474,0.1262,0.0294,57.58,66.67,81.82000000000001,66.67,6.0,57.58,54.55,96.97,0.0,0.1949
8,0.4582,0.125,0.0311,51.519999999999996,60.61,93.94,60.61,6.0,38.24,70.59,91.18,2.94,0.3871
9,0.503,0.1263,0.1094,50.0,70.59,85.28999999999999,67.65,6.0,51.519999999999996,51.519999999999996,96.97,9.09,0.3667
10,0.5374,0.125,0.064,39.39,60.61,81.82000000000001,60.61,6.0,30.3,60.61,90.91,12.120000000000001,0.1868
11,0.36,0.1262,0.0673,60.61,51.519999999999996,96.97,51.519999999999996,6.0,44.12,61.760000000000005,100.0,2.94,0.3918
12,0.5287,0.1298,0.2613,41.18,50.0,91.18,50.0,6.0,39.39,69.69999999999999,96.97,6.0600000000000005,0.3744
13,0.4346,0.125,0.1136,54.55,54.55,93.94,54.55,6.0,51.519999999999996,54.55,100.0,0.0,0.1766
14,0.5205,0.125,0.0003,45.45,69.69999999999999,93.94,69.69999999999999,6.0,52.94,50.0,100.0,5.88,0.3745
15,0.4732,0.125,0.1153,50.0,58.81999999999999,100.0,58.81999999999999,6.0,51.519999999999996,54.55,93.94,0.0,0.3736
16,0.4082,0.125,0.0371,48.480000000000004,66.67,84.85000000000001,66.67,6.0,66.67,66.67,100.0,3.0300000000000002,0.1936
17,0.4283,0.125,0.0178,54.55,48.480000000000004,100.0,48.480000000000004,6.0,67.65,41.18,100.0,0.0,0.3772
18,0.331,0.125,0.1827,61.760000000000005,61.760000000000005,97.06,61.760000000000005,6.0,66.67,57.58,100.0,9.09,0.3724
19,0.287,0.125,0.0524,63.63999999999999,57.58,87.88,57.58,6.0,54.55,66.67,100.0,0.0,0.2026
20,0.3449,0.1274,0.1536,63.63999999999999,54.55,93.94,54.55,6.0,70.59,70.59,97.06,2.94,0.4059
21,0.3958,0.125,0.0678,50.0,52.94,91.18,52.94,6.0,60.61,57.58,100.0,0.0,0.3613
22,0.3951,0.125,0.0153,60.61,57.58,90.91,57.58,6.0,69.69999999999999,60.61,100.0,3.0300000000000002,0.1897
23,0.3054,0.1261,0.1729,66.67,51.519999999999996,96.97,51.519999999999996,6.0,58.81999999999999,52.94,85.28999999999999,11.76,0.3793
24,0.2584,0.1261,0.0109,64.71000000000001,67.65,85.28999999999999,67.65,6.0,45.45,60.61,96.97,0.0,0.3665
25,0.5875,0.125,0.0022,39.39,69.69999999999999,81.82000000000001,69.69999999999999,6.0,51.519999999999996,57.58,96.97,0.0,0.2021
26,0.3999,0.125,0.0185,54.55,51.519999999999996,96.97,51.519999999999996,6.0,52.94,58.81999999999999,100.0,0.0,0.3782
27,0.3403,0.125,0.0251,58.81999999999999,47.06,94.12,47.06,6.0,63.63999999999999,36.36,90.91,0.0,0.3743
28,0.1518,0.1262,0.1028,84.85000000000001,51.519999999999996,100.0,51.519999999999996,6.0,60.61,45.45,93.94,3.0300000000000002,0.1763
29,0.4135,0.125,0.0194,54.55,57.58,84.85000000000001,54.55,6.0,70.59,52.94,94.12,8.82,0.3947
30,0.3753,0.125,0.0229,55.879999999999995,76.47,97.06,76.47,6.0,66.67,63.63999999999999,96.97,3.0300000000000002,0.4077
31,0.4109,0.1261,0.1556,54.55,66.67,100.0,66.67,6.0,57.58,66.67,96.97,3.0300000000000002,0.1831
32,0.2817,0.125,0.0624,66.67,60.61,96.97,60.61,6.0,55.879999999999995,58.81999999999999,100.0,0.0,0.3898
33,0.4977,0.125,0.0079,52.94,64.71000000000001,97.06,64.71000000000001,6.0,51.519999999999996,45.45,96.97,3.0300000000000002,0.399
34,0.744,0.1263,0.0141,26.47,64.71000000000001,94.12,64.71000000000001,6.0,36.36,87.88,96.97,0.0,0.3604
35,0.7197,0.1261,0.3145,33.33,63.63999999999999,90.91,63.63999999999999,6.0,30.3,81.82000000000001,96.97,6.0600000000000005,0.1992
36,0.4982,0.125,0.0337,48.480000000000004,45.45,96.97,45.45,6.0,35.29,52.94,100.0,0.0,0.3982
37,0.5086,0.1262,0.1883,45.45,42.42,90.91,42.42,6.0,42.42,57.58,90.91,3.0300000000000002,0.1845
38,0.418,0.125,0.0071,48.480000000000004,51.519999999999996,78.79,51.519999999999996,6.0,38.24,64.71000000000001,100.0,0.0,0.3617
39,0.4275,0.125,0.1024,55.879999999999995,38.24,97.06,38.24,6.0,42.42,54.55,100.0,3.0300000000000002,0.3603
40,0.597,0.125,0.1341,36.36,57.58,96.97,57.58,6.0,45.45,54.55,100.0,0.0,0.1849
41,0.3866,0.125,0.0417,57.58,54.55,93.94,54.55,6.0,38.24,52.94,91.18,5.88,0.371
42,0.6688,0.1166,0.1593,29.409999999999997,67.65,94.12,67.65,6.0,24.240000000000002,66.67,100.0,3.0300000000000002,0.3666
43,0.7178,0.125,0.2176,30.3,69.69999999999999,96.97,69.69999999999999,6.0,30.3,48.480000000000004,100.0,0.0,0.2238
44,0.6226,0.125,0.0366,27.27,78.79,87.88,78.79,6.0,29.409999999999997,58.81999999999999,91.18,0.0,0.3708
45,0.5712,0.1407,0.1192,38.24,88.24,100.0,88.24,6.0,30.3,81.82000000000001,100.0,6.0600000000000005,0.3686
46,0.5692,0.1263,0.0256,39.39,45.45,87.88,45.45,6.0,39.39,60.61,75.76,9.09,0.2102
47,0.612,0.125,0.0033,42.42,66.67,87.88,66.67,6.0,41.18,52.94,91.18,2.94,0.3762
48,0.6088,0.125,0.2131,38.24,64.71000000000001,88.24,64.71000000000001,6.0,39.39,63.63999999999999,93.94,9.09,0.3791
49,0.6033,0.1285,0.2178,39.39,66.67,96.97,66.67,6.0,38.24,64.71000000000001,100.0,2.94,0.3831
50,0.5602,0.125,0.0977,44.12,64.71000000000001,91.18,64.71000000000001,6.0,30.3,66.67,93.94,6.0600000000000005,0.386
51,0.6866,0.1125,0.0381,30.3,72.72999999999999,93.94,72.72999999999999,6.0,36.36,60.61,100.0,0.0,0.187
52,0.6447,0.125,0.3505,33.33,72.72999999999999,84.85000000000001,72.72999999999999,6.0,39.39,66.67,96.97,9.09,0.1785
53,0.6741,0.1261,0.0638,30.3,54.55,93.94,54.55,6.0,17.65,61.760000000000005,97.06,14.71,0.388
54,0.6819,0.125,0.0865,32.35,47.06,88.24,47.06,6.0,30.3,63.63999999999999,75.76,18.18,0.3761
55,0.7371,0.125,0.1191,24.240000000000002,60.61,84.85000000000001,60.61,6.0,33.33,57.58,87.88,0.0,0.199
56,0.729,0.1331,0.2715,27.27,66.67,81.82000000000001,66.67,6.0,35.29,44.12,94.12,5.88,0.3746
57,0.7936,0.125,0.2489,17.65,100.0,97.06,91.18,6.0,21.21,100.0,100.0,12.120000000000001,0.3944
58,0.7294,0.1268,0.0476,24.240000000000002,100.0,100.0,100.0,6.0,21.21,63.63999999999999,100.0,0.0,0.2031
59,0.8554,0.1094,0.2098,12.120000000000001,51.519999999999996,90.91,51.519999999999996,6.0,17.65,100.0,88.24,20.59,0.3869
60,0.7968,0.125,0.0027,20.59,52.94,85.28999999999999,52.94,6.0,21.21,45.45,93.94,3.0300000000000002,0.4102
61,0.6725,0.125,0.0613,33.33,75.76,78.79,72.72999999999999,6.0,33.33,87.88,84.85000000000001,27.27,0.1826
62,0.7801,0.125,0.046,20.59,70.59,91.18,70.59,6.0,30.3,54.55,93.94,3.0300000000000002,0.3503
63,0.7282,0.125,0.2746,30.3,78.79,90.91,72.72999999999999,6.0,20.59,64.71000000000001,100.0,2.94,0.3769
64,0.3392,0.125,0.0684,66.67,63.63999999999999,78.79,63.63999999999999,6.0,42.42,57.58,96.97,9.09,0.1977
65,0.475,0.1261,0.0769,45.45,60.61,96.97,60.61,6.0,58.81999999999999,50.0,100.0,0.0,0.3667
66,0.4784,0.1261,0.0659,44.12,38.24,94.12,38.24,6.0,45.45,69.69999999999999,100.0,6.0600000000000005,0.3739
67,0.6331,0.1104,0.1126,30.3,51.519999999999996,93.94,51.519999999999996,6.0,60.61,60.61,96.97,6.0600000000000005,0.1771
68,0.5571,0.125,0.1083,42.42,69.69999999999999,90.91,69.69999999999999,6.0,51.519999999999996,48.480000000000004,90.91,3.0300000000000002,0.1894
69,0.6556,0.125,0.2309,33.33,54.55,81.82000000000001,54.55,6.0,44.12,58.81999999999999,91.18,8.82,0.3961
70,0.6863,0.125,0.0226,32.35,64.71000000000001,85.28999999999999,64.71000000000001,6.0,36.36,60.61,100.0,3.0300000000000002,0.3732
71,0.7302,0.125,0.1338,27.27,93.94,96.97,87.88,6.0,38.24,64.71000000000001,100.0,5.88,0.3772
72,0.6737,0.125,0.146,33.33,84.85000000000001,100.0,84.85000000000001,6.0,21.21,36.36,100.0,0.0,0.188
73,0.6762,0.125,0.0863,32.35,70.59,97.06,70.59,6.0,33.33,48.480000000000004,100.0,3.0300000000000002,0.3802
74,0.576,0.125,0.0692,42.42,90.91,78.79,78.79,6.0,61.760000000000005,76.47,94.12,0.0,0.3819
75,0.4131,0.125,0.0299,52.94,67.65,94.12,67.65,6.0,57.58,78.79,100.0,0.0,0.3659
76,0.3595,0.125,0.0282,57.58,60.61,96.97,60.61,6.0,36.36,57.58,90.91,9.09,0.1903
77,0.616,0.125,0.1219,36.36,54.55,93.94,54.55,6.0,26.47,50.0,97.06,0.0,0.3726
78,0.4985,0.1407,0.1489,47.06,58.81999999999999,94.12,58.81999999999999,6.0,45.45,60.61,96.97,0.0,0.3767
79,0.3993,0.1407,0.0054,51.519999999999996,48.480000000000004,93.94,48.480000000000004,6.0,60.61,51.519999999999996,93.94,9.09,0.1799
80,0.4723,0.125,0.0773,51.519999999999996,66.67,93.94,66.67,6.0,47.06,47.06,97.06,0.0,0.4018
81,0.4369,0.1264,0.0648,50.0,61.760000000000005,79.41,61.760000000000005,6.0,54.55,60.61,90.91,6.0600000000000005,0.3658
82,0.737,0.1074,0.1537,18.18,45.45,100.0,45.45,6.0,36.36,51.519999999999996,96.97,0.0,0.1895
