index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.7906,0.16,0.3236,22.220000000000002,95.56,100.0,93.33,9.0,25.0,93.17999999999999,100.0,0.0,0.856
1,0.8802,0.124,0.1401,12.120000000000001,96.97,100.0,96.97,9.0,30.3,75.76,100.0,0.0,0.3408
2,0.5771,0.128,0.0035,35.29,61.760000000000005,100.0,61.760000000000005,9.0,33.33,81.82000000000001,100.0,0.0,0.693
3,0.8074,0.149,0.0126,16.669999999999998,64.29,100.0,64.29,9.0,11.899999999999999,69.05,100.0,0.0,0.395
4,0.765,0.141,0.089,23.080000000000002,58.97,100.0,58.97,9.0,15.379999999999999,87.18,97.44,2.56,0.377
5,0.7391,0.143,0.151,25.0,95.0,97.5,92.5,9.0,33.33,61.53999999999999,97.44,5.13,0.8001
6,0.8607,0.151,0.1889,13.950000000000001,55.81,100.0,55.81,9.0,19.05,71.43,97.61999999999999,0.0,0.827
7,0.6976,0.155,0.0487,27.27,45.45,97.72999999999999,45.45,9.0,27.91,58.14,97.67,0.0,0.847
8,0.5165,0.15,0.2829,40.48,66.67,97.61999999999999,66.67,9.0,48.78,60.980000000000004,100.0,2.44,0.823
9,0.6478,0.16,0.121,33.33,75.56,91.11,75.56,9.0,29.549999999999997,63.63999999999999,100.0,0.0,0.8431
10,0.5191,0.154,0.0659,47.73,65.91,95.45,65.91,9.0,40.910000000000004,65.91,100.0,0.0,0.4081
11,0.6078,0.159,0.2279,35.56,75.56,100.0,75.56,9.0,45.45,68.17999999999999,100.0,0.0,0.8462
12,0.6741,0.138,0.2383,28.95,92.11,97.37,92.11,9.0,31.580000000000002,92.11,100.0,0.0,0.37
13,0.456,0.151,0.0023,46.51,65.12,97.67,65.12,9.0,41.86,62.79,100.0,0.0,0.401
14,0.5206,0.148,0.0572,40.48,69.05,97.61999999999999,69.05,9.0,40.48,71.43,100.0,0.0,0.3961
15,0.8199,0.159,0.2527,17.39,95.65,97.83,84.78,9.0,17.78,97.78,95.56,17.78,0.8711
16,0.5739,0.154,0.0139,37.21,67.44,97.67,67.44,9.0,61.9,61.9,100.0,0.0,0.839
17,0.5856,0.158,0.0114,35.56,73.33,93.33,73.33,9.0,46.67,68.89,93.33,0.0,0.4153
18,0.743,0.158,0.1093,24.44,80.0,97.78,80.0,9.0,28.89,57.78,100.0,2.22,0.4203
19,0.4099,0.137,0.1559,55.26,60.529999999999994,100.0,60.529999999999994,9.0,45.95,70.27,100.0,0.0,0.75
20,0.5984,0.153,0.0359,37.21,74.42,100.0,74.42,9.0,28.57,61.9,100.0,0.0,0.826
21,0.42,0.153,0.0309,50.0,47.620000000000005,95.24000000000001,47.620000000000005,9.0,46.339999999999996,70.73,100.0,0.0,0.8141
22,0.2942,0.224,0.0673,64.71000000000001,67.65,83.82,67.65,9.0,63.239999999999995,69.12,92.65,5.88,0.605
23,0.6542,0.135,0.0347,32.43,72.97,100.0,72.97,9.0,27.779999999999998,63.89,100.0,0.0,0.717
24,0.3946,0.156,0.0079,53.49,65.12,100.0,65.12,9.0,45.24,66.67,100.0,0.0,0.835
25,0.5821,0.158,0.1006,40.0,66.67,100.0,66.67,9.0,36.36,75.0,93.17999999999999,4.55,0.848
26,0.6622,0.1446,0.0574,32.5,57.49999999999999,85.0,57.49999999999999,9.0,30.0,60.0,97.5,2.5,0.384
27,0.8052,0.155,0.3503,20.0,80.0,95.56,80.0,9.0,15.909999999999998,95.45,95.45,2.27,0.847
28,0.7465,0.14,0.196,25.64,71.78999999999999,100.0,71.78999999999999,9.0,28.21,94.87,100.0,0.0,0.376
29,0.6112,0.156,0.0807,29.549999999999997,65.91,100.0,65.91,9.0,34.88,60.47,100.0,0.0,0.8431
30,0.4589,0.152,0.1017,50.0,71.43,100.0,71.43,9.0,33.33,78.57,92.86,0.0,0.4051
31,0.4909,0.149,0.028,43.9,65.85,82.93,65.85,9.0,53.66,60.980000000000004,100.0,2.44,0.3891
32,0.6948,0.14,0.0776,30.769999999999996,74.36,94.87,74.36,9.0,20.51,61.53999999999999,100.0,0.0,0.373
33,0.5243,0.14,0.2053,41.03,66.67,100.0,66.67,9.0,36.84,71.05,100.0,0.0,0.767
34,0.4594,0.148,0.1738,48.78,70.73,97.56,70.73,9.0,51.22,70.73,100.0,0.0,0.392
35,0.5673,0.144,0.088,39.019999999999996,46.339999999999996,100.0,46.339999999999996,9.0,24.39,60.980000000000004,97.56,0.0,0.3891
36,0.495,0.153,0.0498,42.86,69.05,100.0,69.05,9.0,47.620000000000005,76.19,100.0,2.3800000000000003,0.3969
37,0.6553,0.155,0.1235,27.27,90.91,95.45,88.64,9.0,34.88,69.77,95.35,0.0,0.8431
38,0.6468,0.15,0.0139,28.57,61.9,88.1,61.9,9.0,35.709999999999994,61.9,97.61999999999999,2.3800000000000003,0.3939
39,0.703,0.127,0.4173,29.409999999999997,70.59,100.0,70.59,9.0,27.27,66.67,100.0,0.0,0.693
40,0.6197,0.149,0.0113,35.709999999999994,66.67,97.61999999999999,66.67,9.0,33.33,71.43,100.0,0.0,0.397
41,0.7949,0.097,0.1869,20.830000000000002,70.83,100.0,70.83,9.0,33.33,75.0,100.0,0.0,0.256
42,0.6505,0.158,0.1307,29.549999999999997,77.27000000000001,100.0,77.27000000000001,9.0,41.86,74.42,100.0,2.33,0.852
43,0.7536,0.145,0.1302,22.5,87.5,100.0,87.5,9.0,30.769999999999996,64.1,100.0,5.13,0.786
44,0.5983,0.154,0.0727,34.88,74.42,93.02,74.42,9.0,40.48,64.29,92.86,7.140000000000001,0.8287
