index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.7433,0.1555,0.133,24.44,75.56,97.78,71.11,8.0,34.089999999999996,72.72999999999999,97.72999999999999,4.55,1.0046
1,0.6916,0.123,0.1808,27.27,75.76,87.88,75.76,8.0,21.21,69.69999999999999,87.88,6.0600000000000005,0.218
2,0.5206,0.128,0.0815,32.35,73.53,91.18,73.53,8.0,36.36,78.79,72.72999999999999,9.09,0.691
3,0.803,0.154,0.1939,21.43,71.43,88.1,66.67,8.0,28.57,78.57,95.24000000000001,2.3800000000000003,0.239
4,0.6391,0.143,0.0593,25.64,100.0,82.05,66.67,8.0,12.82,79.49000000000001,94.87,7.6899999999999995,0.225
5,0.772,0.148,0.1117,20.0,95.0,90.0,70.0,8.0,23.080000000000002,89.74,94.87,2.56,0.794
6,0.7244,0.155,0.1792,20.93,76.74,90.7,69.77,8.0,14.29,78.57,78.57,23.810000000000002,0.851
7,0.6764,0.155,0.2419,29.549999999999997,86.36,95.45,84.09,8.0,20.93,65.12,100.0,4.65,0.894
8,0.5973,0.151,0.1642,35.709999999999994,73.81,92.86,73.81,8.0,51.22,53.66,100.0,0.0,0.833
9,0.535,0.156,0.2033,31.11,93.33,93.33,82.22,8.0,27.27,70.45,75.0,25.0,0.851
10,0.5076,0.158,0.1614,52.27,79.55,88.64,79.55,8.0,43.18,75.0,95.45,4.55,0.239
11,0.6321,0.16,0.1535,33.33,82.22,93.33,82.22,8.0,40.910000000000004,70.45,100.0,0.0,0.852
12,0.758,0.137,0.2117,21.05,81.58,89.47,76.32,8.0,15.790000000000001,71.05,84.21,18.42,0.223
13,0.6972,0.151,0.1628,27.91,62.79,65.12,62.79,8.0,41.86,79.07,83.72,13.950000000000001,0.24
14,0.6347,0.152,0.1696,35.709999999999994,80.95,97.61999999999999,80.95,8.0,42.86,69.05,90.48,0.0,0.252
15,0.8882,0.16,0.2977,10.870000000000001,82.61,100.0,71.74000000000001,8.0,15.559999999999999,80.0,93.33,20.0,0.871
16,0.6152,0.152,0.172,37.21,79.07,72.09,79.07,8.0,50.0,64.29,100.0,0.0,0.833
17,0.5453,0.158,0.1175,42.22,82.22,93.33,82.22,8.0,40.0,71.11,93.33,0.0,0.239
18,0.6494,0.158,0.3313,31.11,80.0,75.56,68.89,8.0,28.89,66.67,97.78,15.559999999999999,0.24
19,0.4737,0.137,0.1169,50.0,63.160000000000004,97.37,63.160000000000004,8.0,75.68,75.68,91.89,2.7,0.757
20,0.7494,0.15,0.3326,25.580000000000002,60.47,90.7,60.47,8.0,26.19,61.9,95.24000000000001,2.3800000000000003,0.861
21,0.4496,0.149,0.0639,50.0,59.519999999999996,95.24000000000001,59.519999999999996,8.0,60.980000000000004,70.73,100.0,2.44,0.8458
22,0.206,0.215,0.0004,69.12,73.53,94.12,73.53,8.0,60.29,76.47,86.76,27.939999999999998,0.34
23,0.7845,0.132,0.1644,18.92,83.78,86.49,64.86,8.0,25.0,72.22,94.44,8.33,0.7054
24,0.431,0.151,0.1023,51.160000000000004,79.07,81.39999999999999,74.42,8.0,26.19,78.57,92.86,14.29,0.821
25,0.559,0.154,0.0455,42.22,66.67,97.78,66.67,8.0,47.73,68.17999999999999,90.91,4.55,0.904
26,0.6878,0.142,0.0402,30.0,77.5,95.0,77.5,8.0,52.5,70.0,100.0,0.0,0.222
27,0.3662,0.156,0.1001,55.559999999999995,80.0,88.89,71.11,8.0,38.64,75.0,61.36000000000001,20.45,0.8405
28,0.6828,0.14,0.266,30.769999999999996,74.36,84.61999999999999,61.53999999999999,8.0,25.64,71.78999999999999,100.0,5.13,0.222
29,0.7562,0.152,0.1183,22.73,77.27000000000001,86.36,65.91,8.0,27.91,88.37,88.37,25.580000000000002,0.8396
30,0.5962,0.147,0.1633,35.709999999999994,83.33,85.71,78.57,8.0,30.95,71.43,92.86,4.760000000000001,0.229
31,0.4525,0.144,0.1248,53.66,63.41,75.61,63.41,8.0,51.22,63.41,90.24,4.88,0.226
32,0.766,0.138,0.0396,20.51,66.67,94.87,66.67,8.0,28.21,71.78999999999999,100.0,0.0,0.225
33,0.6386,0.14,0.1239,30.769999999999996,71.78999999999999,87.18,71.78999999999999,8.0,28.95,63.160000000000004,97.37,5.26,0.77
34,0.5885,0.144,0.3035,31.71,78.05,82.93,78.05,8.0,43.9,73.17,87.8,12.2,0.2301
35,0.6195,0.144,0.1648,31.71,65.85,78.05,63.41,8.0,24.39,70.73,100.0,0.0,0.2316
36,0.3837,0.144,0.0123,50.0,64.29,85.71,64.29,8.0,21.43,76.19,88.1,14.29,0.2377
37,0.4154,0.152,0.0826,43.18,75.0,79.55,75.0,8.0,48.84,76.74,100.0,4.65,0.91
38,0.655,0.146,0.2518,33.33,71.43,85.71,71.43,8.0,35.709999999999994,76.19,95.24000000000001,19.05,0.2315
39,0.8391,0.126,0.2518,20.59,67.65,73.53,67.65,8.0,33.33,84.85000000000001,93.94,9.09,0.741
40,0.6014,0.145,0.1055,40.48,66.67,66.67,64.29,8.0,30.95,64.29,88.1,4.760000000000001,0.2294
41,0.6798,0.095,0.0897,33.33,79.17,87.5,79.17,8.0,54.169999999999995,75.0,95.83,0.0,0.1625
42,0.6318,0.156,0.1198,34.089999999999996,77.27000000000001,88.64,77.27000000000001,8.0,34.88,53.49,93.02,2.33,0.878
43,0.6765,0.142,0.1937,27.500000000000004,75.0,80.0,75.0,8.0,28.21,64.1,92.31,0.0,0.781
44,0.5764,0.15,0.0156,44.190000000000005,65.12,86.05000000000001,65.12,8.0,40.48,78.57,85.71,2.3800000000000003,0.8174
45,0.7652,0.148,0.062,23.26,72.09,88.37,72.09,8.0,28.57,61.9,92.86,2.3800000000000003,0.818
46,0.6981,0.144,0.1394,26.19,54.76,97.61999999999999,54.76,8.0,26.19,85.71,95.24000000000001,4.760000000000001,0.2337
47,0.8145,0.123,0.0988,17.65,79.41,76.47,76.47,8.0,29.409999999999997,70.59,97.06,0.0,0.2098
48,0.6917,0.123,0.1129,30.3,69.69999999999999,93.94,69.69999999999999,8.0,37.5,71.88,90.62,9.379999999999999,1.5285
49,0.4829,0.141,0.1203,42.5,57.49999999999999,82.5,57.49999999999999,8.0,37.5,62.5,100.0,0.0,0.2265
50,0.6455,0.164,0.0083,31.91,87.22999999999999,89.36,76.6,8.0,26.090000000000003,65.22,95.65,19.57,0.8931
51,0.4992,0.154,0.2064,38.64,72.72999999999999,81.82000000000001,61.36000000000001,8.0,29.549999999999997,68.17999999999999,97.72999999999999,4.55,0.235
52,0.7767,0.15,0.0406,25.580000000000002,69.77,97.67,69.77,8.0,44.190000000000005,69.77,86.05000000000001,2.33,0.2358
53,0.4758,0.156,0.0995,40.0,75.56,91.11,75.56,8.0,36.36,63.63999999999999,95.45,9.09,0.8801
54,0.4795,0.156,0.0409,35.56,71.11,80.0,66.67,8.0,53.33,60.0,97.78,8.89,0.2413
55,0.6372,0.155,0.0154,34.88,86.05000000000001,93.02,86.05000000000001,8.0,28.57,73.81,95.24000000000001,0.0,0.827
56,0.6829,0.149,0.3573,27.91,62.79,86.05000000000001,62.79,8.0,25.580000000000002,72.09,79.07,23.26,0.2317
57,0.7096,0.133,0.0929,30.56,77.78,97.22,72.22,8.0,27.779999999999998,75.0,94.44,38.89,0.2147
58,0.8446,0.151,0.1275,13.639999999999999,68.17999999999999,93.17999999999999,68.17999999999999,8.0,18.6,74.42,93.02,9.3,0.895
59,0.8456,0.133,0.2276,16.669999999999998,66.67,97.22,66.67,8.0,14.29,62.86000000000001,94.28999999999999,2.86,0.7181
60,0.8297,0.161,0.2761,15.559999999999999,73.33,95.56,73.33,8.0,15.909999999999998,84.09,93.17999999999999,0.0,0.844
61,0.7602,0.153,0.0959,23.26,81.39999999999999,72.09,62.79,8.0,35.709999999999994,66.67,95.24000000000001,19.05,0.822
62,0.4835,0.149,0.0215,46.51,62.79,97.67,62.79,8.0,42.86,69.05,100.0,2.3800000000000003,0.8212
63,0.6274,0.14,0.1139,41.03,71.78999999999999,92.31,71.78999999999999,8.0,23.080000000000002,79.49000000000001,92.31,0.0,0.2195
64,0.7233,0.135,0.0771,24.32,70.27,89.19,64.86,8.0,36.11,66.67,80.56,22.220000000000002,0.702
65,0.8327,0.111,0.2691,17.24,79.31,79.31,65.52,8.0,34.48,68.97,100.0,3.45,0.1742
66,0.6162,0.134,0.0175,33.33,63.89,88.89,63.89,8.0,44.440000000000005,75.0,94.44,2.78,0.2124
67,0.7285,0.157,0.1082,27.27,70.45,81.82000000000001,70.45,8.0,30.23,79.07,93.02,25.580000000000002,0.8431
68,0.7946,0.156,0.2659,15.909999999999998,90.91,95.45,84.09,8.0,11.360000000000001,95.45,95.45,20.45,0.238
69,0.4343,0.166,0.03,56.25,83.33,97.92,83.33,7.0,47.92,68.75,100.0,0.0,0.2434
70,0.5691,0.163,0.1943,34.78,78.25999999999999,80.43,73.91,8.0,24.44,75.56,100.0,0.0,0.8751
71,0.83,0.13,0.1292,16.220000000000002,86.49,94.59,86.49,8.0,19.439999999999998,61.11,100.0,2.78,0.7043
72,0.7054,0.15,0.2985,27.27,70.45,97.72999999999999,70.45,8.0,23.26,79.07,100.0,9.3,0.837
73,0.5145,0.156,0.166,40.0,68.89,91.11,66.67,8.0,27.27,68.17999999999999,97.72999999999999,6.819999999999999,0.8411
74,0.1736,0.145,0.0207,70.73,58.540000000000006,95.12,58.540000000000006,8.0,65.85,70.73,100.0,7.32,0.2255
75,0.737,0.164,0.201,25.0,62.5,83.33,62.5,7.0,31.91,63.83,82.98,19.15,2.2637
76,0.5361,0.149,0.074,38.1,78.57,85.71,69.05,8.0,21.43,71.43,78.57,9.520000000000001,0.2316
77,0.2208,0.14,0.0544,64.1,64.1,92.31,64.1,8.0,68.42,73.68,97.37,28.95,0.7671
78,0.6174,0.145,0.0888,34.150000000000006,78.05,90.24,75.61,8.0,40.0,70.0,87.5,5.0,0.7718
79,0.6178,0.152,0.0472,27.27,79.55,81.82000000000001,75.0,8.0,22.73,72.72999999999999,90.91,11.360000000000001,0.2357
80,0.6426,0.16,0.3291,36.96,78.25999999999999,100.0,78.25999999999999,8.0,32.61,86.96000000000001,91.3,8.7,0.2464
81,0.545,0.15,0.0859,38.64,77.27000000000001,93.17999999999999,77.27000000000001,8.0,50.0,77.27000000000001,90.91,22.73,0.237
82,0.6934,0.151,0.1009,29.549999999999997,77.27000000000001,88.64,75.0,8.0,18.6,69.77,95.35,6.98,0.8381
83,0.2088,0.149,0.0556,70.73,65.85,100.0,65.85,8.0,78.05,70.73,100.0,0.0,0.228
84,0.7264,0.114,0.15,29.03,74.19,96.77,74.19,8.0,33.33,66.67,100.0,10.0,0.834
85,0.7406,0.14,0.0993,25.64,71.78999999999999,94.87,71.78999999999999,8.0,36.84,63.160000000000004,100.0,5.26,0.774
86,0.793,0.154,0.0203,18.18,75.0,93.17999999999999,72.72999999999999,8.0,38.64,75.0,95.45,9.09,0.234
87,0.3888,0.148,0.1792,54.76,76.19,85.71,76.19,8.0,56.10000000000001,68.28999999999999,95.12,17.07,0.803
88,0.7602,0.156,0.0015,20.0,86.67,88.89,75.56,8.0,15.559999999999999,80.0,97.78,24.44,0.2378
89,0.5837,0.149,0.1365,39.53,69.77,86.05000000000001,69.77,8.0,35.709999999999994,69.05,95.24000000000001,7.140000000000001,0.8196
90,0.8318,0.15,0.0864,18.6,81.39999999999999,93.02,74.42,8.0,19.05,78.57,95.24000000000001,7.140000000000001,0.82
91,0.5182,0.136,0.072,42.11,65.79,84.21,65.79,8.0,26.32,63.160000000000004,100.0,2.63,0.2171
92,0.7105,0.159,0.0286,28.26,63.04,78.25999999999999,63.04,8.0,39.129999999999995,73.91,91.3,13.04,0.2435
93,0.5941,0.145,0.0529,30.95,73.81,78.57,66.67,8.0,45.24,64.29,90.48,4.760000000000001,0.2311
94,0.5619,0.143,0.276,39.019999999999996,75.61,97.56,75.61,8.0,40.0,57.49999999999999,82.5,15.0,0.7716
95,0.7584,0.135,0.0751,23.080000000000002,61.53999999999999,92.31,61.53999999999999,8.0,23.68,84.21,92.11,13.16,0.767
96,0.4135,0.137,0.0372,58.97,69.23,76.92,64.1,8.0,68.42,71.05,86.83999999999999,13.16,0.7658
97,0.5474,0.153,0.068,43.18,68.17999999999999,95.45,68.17999999999999,8.0,32.56,69.77,97.67,2.33,0.84
98,0.5883,0.154,0.1015,36.36,72.72999999999999,93.17999999999999,72.72999999999999,8.0,25.580000000000002,74.42,97.67,6.98,0.8358
99,0.6144,0.146,0.0563,36.59,63.41,90.24,63.41,8.0,30.0,80.0,90.0,7.5,0.7695
100,0.693,0.147,0.0882,29.270000000000003,75.61,97.56,73.17,8.0,25.0,67.5,95.0,5.0,0.7852
101,0.4881,0.151,0.0789,51.160000000000004,81.39999999999999,67.44,65.12,8.0,37.21,65.12,90.7,18.6,0.2364
102,0.5833,0.159,0.1635,39.129999999999995,84.78,89.13,82.61,8.0,39.129999999999995,80.43,95.65,10.870000000000001,0.2452
103,0.7244,0.149,0.2528,27.91,65.12,74.42,60.47,8.0,45.24,59.519999999999996,95.24000000000001,11.899999999999999,0.862
104,0.6145,0.147,0.0529,33.33,73.81,90.48,73.81,8.0,21.95,65.85,73.17,9.76,0.8061
105,0.652,0.159,0.1579,34.78,71.74000000000001,71.74000000000001,71.74000000000001,8.0,35.56,84.44,84.44,6.67,0.874
106,0.3808,0.152,0.2792,48.84,65.12,97.67,65.12,8.0,32.56,72.09,97.67,4.65,0.2375
107,0.5312,0.14,0.0006,37.5,60.0,92.5,60.0,8.0,30.0,65.0,85.0,5.0,0.2239
108,0.6852,0.118,0.1876,31.25,75.0,87.5,68.75,7.0,15.620000000000001,75.0,90.62,12.5,0.177
109,0.6872,0.157,0.0032,28.26,76.09,89.13,71.74000000000001,8.0,26.090000000000003,63.04,93.47999999999999,4.35,0.2416
110,0.7287,0.145,0.0735,26.19,80.95,80.95,76.19,8.0,14.29,69.05,90.48,2.3800000000000003,0.2327
111,0.739,0.152,0.3504,23.26,67.44,88.37,65.12,8.0,19.05,76.19,92.86,21.43,0.8551
112,0.7671,0.142,0.0732,25.0,80.0,95.0,80.0,8.0,23.080000000000002,76.92,97.44,0.0,0.7837
113,0.6682,0.155,0.1234,31.11,60.0,82.22,60.0,8.0,24.44,71.11,86.67,17.78,0.2393
114,0.8108,0.144,0.0536,17.5,62.5,92.5,62.5,8.0,15.379999999999999,100.0,76.92,17.95,0.7843
115,0.6007,0.125,0.0059,38.24,67.65,100.0,67.65,8.0,32.35,79.41,100.0,8.82,0.2142
116,0.7551,0.128,0.0781,22.220000000000002,86.11,66.67,77.78,8.0,31.430000000000003,74.29,97.14,5.71,0.7217
117,0.7972,0.147,0.0878,24.39,65.85,92.67999999999999,65.85,8.0,24.39,68.28999999999999,90.24,0.0,0.2278
118,0.6067,0.151,0.0916,30.23,58.14,81.39999999999999,53.49,8.0,28.57,83.33,100.0,14.29,0.822
119,0.5662,0.155,0.1497,41.86,69.77,76.74,67.44,8.0,27.91,76.74,88.37,23.26,0.2332
