index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
0,0.6267,0.1563,0.1316,35.56,97.78,97.78,93.33,6.0,47.73,97.72999999999999,93.17999999999999,6.819999999999999,0.4496
1,0.7902,0.1284,0.1388,21.21,93.94,100.0,93.94,6.0,18.18,75.76,100.0,0.0,0.2029
2,0.7029,0.1262,0.2131,26.47,76.47,97.06,76.47,6.0,36.36,81.82000000000001,100.0,6.0600000000000005,0.3769
3,0.8565,0.1575,0.0297,14.29,92.86,95.24000000000001,83.33,6.0,11.899999999999999,95.24000000000001,92.86,19.05,0.2226
4,0.7266,0.1417,0.0613,25.64,82.05,97.44,82.05,6.0,20.51,87.18,87.18,2.56,0.21
5,0.8316,0.1407,0.1,15.0,97.5,100.0,97.5,6.0,15.379999999999999,97.44,97.44,41.03,0.418
6,0.8868,0.1563,0.1815,11.63,100.0,95.35,97.67,6.0,19.05,83.33,97.61999999999999,9.520000000000001,0.4377
7,0.8103,0.1599,0.2361,18.18,86.36,84.09,79.55,6.0,20.93,72.09,81.39999999999999,9.3,0.4471
8,0.6939,0.1563,0.1598,26.19,76.19,100.0,76.19,6.0,31.71,65.85,100.0,0.0,0.4286
9,0.6633,0.1563,0.1333,31.11,82.22,91.11,82.22,6.0,25.0,81.82000000000001,100.0,0.0,0.4513
10,0.489,0.1563,0.3248,47.73,75.0,90.91,75.0,6.0,38.64,65.91,93.17999999999999,2.27,0.2257
11,0.6879,0.1563,0.0744,26.669999999999998,77.78,97.78,77.78,6.0,31.819999999999997,84.09,97.72999999999999,0.0,0.4427
12,0.7835,0.1407,0.1154,18.42,78.95,97.37,78.95,6.0,13.16,84.21,97.37,5.26,0.2281
13,0.6826,0.1563,0.0218,30.23,76.74,97.67,76.74,6.0,13.950000000000001,83.72,83.72,13.950000000000001,0.2209
14,0.646,0.1425,0.2434,33.33,76.19,88.1,76.19,6.0,28.57,80.95,100.0,0.0,0.2215
15,0.8904,0.1719,0.0118,10.870000000000001,97.83,95.65,82.61,6.0,17.78,91.11,100.0,2.22,0.4439
16,0.7443,0.1483,0.2435,23.26,76.74,86.05000000000001,76.74,6.0,47.620000000000005,80.95,97.61999999999999,0.0,0.4372
17,0.6877,0.1563,0.2814,28.89,80.0,95.56,80.0,6.0,28.89,91.11,88.89,13.33,0.2267
18,0.5799,0.1647,0.0367,35.56,82.22,97.78,82.22,6.0,31.11,80.0,100.0,4.44,0.2199
19,0.5823,0.1407,0.1059,39.47,76.32,100.0,76.32,6.0,51.349999999999994,78.38000000000001,94.59,2.7,0.4069
20,0.8382,0.1575,0.0239,18.6,95.35,95.35,86.05000000000001,6.0,11.899999999999999,90.48,97.61999999999999,14.29,0.4408
21,0.5489,0.1563,0.1143,40.48,66.67,97.61999999999999,66.67,6.0,41.46,70.73,97.56,2.44,0.4196
22,0.4136,0.2199,0.0512,48.53,85.28999999999999,91.18,85.28999999999999,6.0,48.53,79.41,97.06,2.94,0.3036
